12:19, nedjelja, prosinac 01, 2024
Study name:Thermal 1
Units: Celsius
Selected reference : N/A
Node  ,X (mm)  ,Y (mm)  ,Z (mm)  ,TEMP (Celsius)
672  ,11.2589  ,19.8572  ,35.0373  ,2.62358e+01
7489  ,11.2589  ,19.8572  ,33.932  ,2.62358e+01
671  ,11.2589  ,19.8572  ,32.8268  ,2.62358e+01
7488  ,12.3089  ,19.8572  ,32.8268  ,2.62332e+01
7475  ,10.2089  ,19.8572  ,35.0373  ,2.62332e+01
7485  ,10.2089  ,19.8572  ,32.8268  ,2.62332e+01
7476  ,10.2089  ,19.8572  ,33.932  ,2.62332e+01
7478  ,12.3089  ,19.8572  ,35.0373  ,2.62332e+01
7487  ,12.3089  ,19.8572  ,33.932  ,2.62332e+01
7342  ,13.3589  ,19.8572  ,33.932  ,2.62306e+01
689  ,13.3589  ,19.8572  ,32.8268  ,2.62306e+01
690  ,13.3589  ,19.8572  ,35.0373  ,2.62306e+01
851  ,9.1589  ,19.8572  ,32.8268  ,2.62306e+01
6277  ,9.1589  ,19.8572  ,33.932  ,2.62306e+01
7498  ,11.2589  ,19.8572  ,31.7215  ,2.62306e+01
852  ,9.1589  ,19.8572  ,35.0373  ,2.62306e+01
7479  ,11.2589  ,19.8572  ,36.1426  ,2.62306e+01
7496  ,12.3089  ,19.8572  ,31.7215  ,2.62280e+01
7486  ,10.2089  ,19.8572  ,31.7215  ,2.62280e+01
7477  ,12.3089  ,19.8572  ,36.1426  ,2.62280e+01
7468  ,10.2089  ,19.8572  ,36.1426  ,2.62280e+01
7349  ,13.3589  ,19.8572  ,31.7215  ,2.62254e+01
7335  ,13.3589  ,19.8572  ,36.1426  ,2.62254e+01
6283  ,9.1589  ,19.8572  ,31.7215  ,2.62254e+01
6272  ,9.1589  ,19.8572  ,36.1426  ,2.62254e+01
673  ,11.2589  ,19.8572  ,37.2478  ,2.62253e+01
670  ,11.2589  ,19.8572  ,30.6163  ,2.62253e+01
7341  ,14.4089  ,19.8572  ,32.8268  ,2.62230e+01
7340  ,14.4089  ,19.8572  ,33.932  ,2.62230e+01
7334  ,14.4089  ,19.8572  ,35.0373  ,2.62230e+01
6275  ,8.1089  ,19.8572  ,32.8268  ,2.62229e+01
6271  ,8.1089  ,19.8572  ,33.932  ,2.62229e+01
6270  ,8.1089  ,19.8572  ,35.0373  ,2.62229e+01
7497  ,12.3089  ,19.8572  ,30.6163  ,2.62228e+01
7494  ,10.2089  ,19.8572  ,30.6163  ,2.62227e+01
7470  ,12.3089  ,19.8572  ,37.2478  ,2.62227e+01
7467  ,10.2089  ,19.8572  ,37.2478  ,2.62227e+01
691  ,13.3589  ,19.8572  ,37.2478  ,2.62202e+01
688  ,13.3589  ,19.8572  ,30.6162  ,2.62202e+01
850  ,9.1589  ,19.8572  ,30.6163  ,2.62201e+01
853  ,9.1589  ,19.8572  ,37.2478  ,2.62201e+01
7333  ,14.4089  ,19.8572  ,36.1426  ,2.62177e+01
7347  ,14.4089  ,19.8572  ,31.7215  ,2.62177e+01
6276  ,8.1089  ,19.8572  ,31.7215  ,2.62176e+01
6265  ,8.1089  ,19.8572  ,36.1426  ,2.62176e+01
707  ,15.4589  ,19.8572  ,32.8268  ,2.62152e+01
708  ,15.4589  ,19.8572  ,35.0373  ,2.62152e+01
7220  ,15.4589  ,19.8572  ,33.932  ,2.62152e+01
870  ,7.0589  ,19.8572  ,35.0373  ,2.62151e+01
869  ,7.0589  ,19.8572  ,32.8268  ,2.62151e+01
6157  ,7.0589  ,19.8572  ,33.932  ,2.62151e+01
7507  ,11.2589  ,19.8572  ,29.511  ,2.62149e+01
7471  ,11.2589  ,19.8572  ,38.3531  ,2.62149e+01
